"Elem_name"	"ion_state"	"Wl"	"Ei"	"Ek"	"Ak"	"gi"	"gk"
"B"	"II"	120.836	12.264501	22.52505	1.8e+08	3	5
"B"	"II"	120.856	12.263448	22.52242	2.4e+08	1	3
"B"	"II"	120.856	12.266161	22.52505	5.53e+08	5	5
"B"	"II"	120.867	12.264501	22.52242	1.84e+08	3	3
"B"	"II"	120.886	12.264501	22.52122	7.3e+08	3	1
"B"	"II"	120.886	12.266161	22.52242	3.1e+08	5	3
"B"	"II"	121.07	12.691366	22.93189	1.05e+08	5	7
"B"	"II"	123.016	9.100007	19.178635	1.36e+09	3	5
"B"	"II"	125.938	12.691366	22.53607	1.91e+08	5	3
"B"	"II"	136.246	0	9.100007	1.2e+09	1	3
"B"	"II"	137.818	12.691366	21.68755	1.07e+08	5	7
"B"	"I"	137.865	0	8.993138	3.42e+08	2	4
"B"	"I"	137.887	0	8.991694	1.37e+09	2	2
"B"	"I"	137.894	0.0018953	8.993138	1.71e+09	4	4
"B"	"I"	137.917	0.0018953	8.991694	6.84e+08	4	2
"B"	"I"	153.381	0	8.083434	1.2e+07	2	4
"B"	"I"	153.417	0.0018953	8.083434	14400000	4	6
"B"	"I"	153.417	0.0018953	8.083434	2400000	4	4
"B"	"I"	154.34	0	8.033195	28100000	2	2
"B"	"I"	154.376	0.0018953	8.033195	56200000	4	2
"B"	"I"	154.642	0	8.017482	17800000	2	4
"B"	"I"	154.679	0.0018953	8.017482	21400000	4	6
"B"	"I"	154.679	0.0018953	8.017482	3560000	4	4
"B"	"II"	155.7	9.100007	17.062984	1580000	3	1
"B"	"I"	155.87	0	7.954332	2e+07	2	2
"B"	"I"	155.907	0.0018953	7.954332	40400000	4	2
"B"	"I"	156.629	0	7.915811	27900000	2	4
"B"	"I"	156.666	0.0018953	7.915811	33500000	4	6
"B"	"I"	156.666	0.0018953	7.915811	5600000	4	4
"B"	"I"	157.33	0	7.880515	44200000	2	2
